x1,x01 (t shorter than h),x11 (t even with h),x21 (t taller than h),x31 (No set pattern)
Total,0.78,0.015,0.055,0.15
x02 (retraced staff) ,0.231,0.6659999999999999,0.455,0.4
x12 (curved right) ,0.365,0.0,0.091,0.2
x22 (curved left),0.026000000000000002,0.0,0.0,0.033
x32 (both curved),0.17300000000000001,0.0,0.182,0.16699999999999998
x42 (no pattern),0.205,0.33299999999999996,0.273,0.2
x04 (upper staff) ,0.737,1.0,0.727,0.5670000000000001
x14 (lower staff) ,0.077,0.0,0.273,0.2
x24 (above staff) ,0.013000000000000001,0.0,0.0,0.0
x34 (no pattern),0.17300000000000001,0.0,0.0,0.233
x06 (tented t) ,0.019,0.0,0.0,0.0
x16 (single stroke t) ,0.282,0.6659999999999999,0.545,0.4
x26 (looped t) ,0.128,0.33299999999999996,0.091,0.2
x36 (closed t),0.35200000000000004,0.0,0.182,0.2
x46 (mixed shapes) ,0.218,0.0,0.182,0.2
