x3,x03 (rounded arch),x13 (pointed arch),x23 (no pattern)
Total,0.18,0.66,0.16
x02 (retraced staff),0.19399999999999998,0.311,0.21899999999999997
x12 (curved right),0.47200000000000003,0.318,0.156
x22 (curved left),0.027999999999999997,0.030299999999999997,0.0
x32 (both curved),0.16699999999999998,0.182,0.125
x42 (no pattern),0.139,0.159,0.5
x05 (upward),0.361,0.39399999999999996,0.313
x15 (downward),0.083,0.114,0.125
x25 (even),0.222,0.091,0.031
x35 (no pattern),0.33299999999999996,0.402,0.531
x06 (tented t),0.0,0.023,0.0
x16 (single stroke t),0.389,0.318,0.25
x26 (looped t),0.083,0.152,0.156
x36 (closed t),0.361,0.303,0.203
x46 (mixed t shapes),0.16699999999999998,0.204,0.281
