x4,x04 (upper staff),x14 (lower staff),x24 (above staff),x34 (no pattern)
Total,0.715,0.105,0.01,0.17
x01 (t shorter than h),0.804,0.5710000000000001,1.0,0.794
x11 (t even with h),0.021,0.0,0.0,0.0
x21 (t taller than h),0.055999999999999994,0.14300000000000002,0.0,0.0
x31 (no set pattern),0.11900000000000001,0.28600000000000003,0.0,0.20600000000000002
x02 (retraced staff),0.308,0.23800000000000002,0.0,0.17600000000000002
x12 (curved right),0.322,0.28600000000000003,1.0,0.32299999999999995
x22 (curved left),0.027999999999999997,0.0,0.0,0.028999999999999998
x32 (both curved),0.154,0.19,0.0,0.235
x42 (no pattern),0.196,0.28600000000000003,0.0,0.235
x06 (tented t),0.021,0.0,0.0,0.0
x16 (single stroke t),0.28,0.5710000000000001,0.0,0.353
x26 (looped t),0.154,0.14300000000000002,0.0,0.08800000000000001
x36 (closed t),0.32899999999999996,0.19,0.5,0.32299999999999995
x46 (mixed t),0.217,0.095,0.5,0.235
